Name,DPLL Result,DPLL Time,Genetic Result,Genetic Time,Local Search Result,Local Search Time
uf20-0156.cnf,Satisfiable,0.0019336,91/91,0.58689194,91/91,9.87E-04
uf20-0157.cnf,Not Satisfiable,0.0028767,91/91,0.2592717,91/91,4.48E-04
uf20-0158.cnf,Satisfiable,0.0033445,91/91,0.36152291,91/91,1.70E-04
uf20-0159.cnf,Satisfiable,8.64E-04,91/91,0.30722481,90/91,1.24E-04
uf20-0160.cnf,Satisfiable,4.25E-04,91/91,0.61461282,90/91,1.92E-04
uf20-0161.cnf,Satisfiable,5.11E-04,91/91,0.33757249,91/91,1.73E-04
uf20-0162.cnf,Satisfiable,3.65E-04,91/91,0.08975299,90/91,1.96E-04
uf20-0163.cnf,Satisfiable,4.27E-04,91/91,0.09092432,91/91,1.93E-04
uf20-0164.cnf,Satisfiable,2.36E-04,91/91,0.06654253,91/91,2.23E-04
uf20-0165.cnf,Satisfiable,6.43E-04,91/91,0.08446428,91/91,1.98E-04
uf50-01.cnf,Satisfiable,0.0063967,217/218,1.74027487,216/218,0.00146553
uf50-02.cnf,Not Satisfiable,0.0090998,217/218,1.72548029,215/218,0.00173466
uf50-03.cnf,Satisfiable,0.0037575,218/218,1.38286752,216/218,0.00155863
uf50-04.cnf,Not Satisfiable,0.0078578,218/218,1.41737708,216/218,0.00132734
uf50-05.cnf,Satisfiable,0.0014536,218/218,0.89059665,218/218,0.00184621
uf50-06.cnf,Satisfiable,0.0016965,218/218,1.71942335,216/218,0.00177818
uf50-07.cnf,Satisfiable,0.0024943,218/218,1.57754307,216/218,0.00174013
uf50-08.cnf,Satisfiable,0.0032891,218/218,1.81293591,215/218,0.00175439
uf50-09.cnf,Not Satisfiable,0.0090528,218/218,1.52596522,217/218,0.00166911
uf50-010.cnf,Satisfiable,0.0016522,218/218,1.18144575,215/218,0.00184909
uf75-01.cnf,Satisfiable,0.0036567,325/325,2.6753577,319/325,0.00500904
uf75-02.cnf,Satisfiable,0.00217,325/325,2.22077673,321/325,0.00505922
uf75-03.cnf,Satisfiable,0.0125378,323/325,3.00379748,320/325,0.00553155
uf75-04.cnf,Satisfiable,0.0158724,323/325,2.92090063,321/325,0.00531273
uf75-05.cnf,Satisfiable,0.0259313,323/325,3.22068941,319/325,0.00494752
uf75-06.cnf,Satisfiable,0.005898,325/325,2.80898488,319/325,0.00562502
uf75-07.cnf,Satisfiable,0.0327905,325/325,2.62882509,319/325,0.00513967
uf75-08.cnf,Satisfiable,0.0317011,324/325,3.00535767,320/325,0.0053431
uf75-09.cnf,Satisfiable,0.002825,325/325,2.5488502,322/325,0.00506599
uf75-010.cnf,Satisfiable,0.0086354,325/325,2.301189,320/325,0.0047376
uuf50-01.cnf,Not Satisfiable,0.0034822,217/218,2.0094391,212/218,0.00165139
uuf50-02.cnf,Not Satisfiable,0.0063927,216/218,1.92737887,216/218,0.00174343
uuf50-03.cnf,Not Satisfiable,0.0030603,217/218,1.96381612,215/218,0.00189161
uuf50-04.cnf,Not Satisfiable,0.004758,217/218,1.88463331,215/218,0.00162639
uuf50-05.cnf,Not Satisfiable,0.0044634,217/218,1.94931795,214/218,0.00164193
uuf50-06.cnf,Not Satisfiable,0.0035994,217/218,1.94415449,214/218,0.00156161
uuf50-07.cnf,Not Satisfiable,0.0035416,217/218,1.96759429,214/218,0.00191368
uuf50-08.cnf,Not Satisfiable,0.002746,217/218,2.00371843,216/218,0.00134376
uuf50-09.cnf,Not Satisfiable,0.0040401,217/218,1.93584067,216/218,0.00143581
uuf50-010.cnf,Not Satisfiable,0.0060402,217/218,2.05270942,214/218,0.00164752
uuf75-01.cnf,Not Satisfiable,0.0244766,323/325,2.95404375,318/325,0.00456454
uuf75-02.cnf,Not Satisfiable,0.0505777,323/325,2.95695028,319/325,0.00449894
uuf75-03.cnf,Not Satisfiable,0.0501303,324/325,2.95812851,320/325,0.00547492
uuf75-04.cnf,Not Satisfiable,0.0532895,323/325,2.9335659,318/325,0.00482918
uuf75-05.cnf,Not Satisfiable,0.0269998,324/325,2.90711257,318/325,0.00482668
uuf75-06.cnf,Not Satisfiable,0.0195111,323/325,2.89795017,319/325,0.00506035
